SIG Question,Response,Standards Context
0,Is there a formalized risk governance policy approved by management that defines the Enterprise Risk Management program requirements?,Yes,"Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
1,"Does the risk governance program include risk management policies, procedures, and internal controls?",Yes,"Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
2,"Does the risk governance program include range of assets to include: people, processes, data, and technology?",Yes,"Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes; Heading: II. IT Security Program Standard, Content: of data that the institution does not consider to be a risk. This policy must specify the data that can only be accessed by university-managed devices.
2.7 Institutions must have documented systems (hardware, software, network, or a combination) development lifecycle (SDLC) plans, including the phases of initiation, acquisition/development, baseline configurations and inventories implementation, operations/maintenance, and sunset/disposal. Each phase of the SDLC plan must consider the risks posed by the data and operation of the system and include steps to address any risks in an appropriate manner. This standard applies to high-risk systems as defined by the institution.; Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:"
3,"Does the risk governance program include a range of internal and external threats: malicious, natural, accidental, cyber, business changes, or transaction volume?",Yes,"Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution."
4,"Does the risk governance program include risk scenarios and intelligence guidelines that address threats, vulnerabilities, likelihoods, and impacts that could impact people, processes, technologies, and facilities?",Yes,"Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
5,Does the governing body define the accountabilities of management and obligations of the Board of Directors for risk management?,Yes,"Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:; Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution."
6,Is the risk governance program approved by senior management and/or board of directors?,Yes,"Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
7,Is training provided to employees regarding risk expectations and their obligations?,Yes,"Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.8 Institutions must conduct quarterly vulnerability scans against institutionallymanaged high-risk servers and network devices (whether on-premise or in the cloud, consistent with the institutional risk program), and those results must be submitted to USM Internal Audit.
2.9 Institutions must provide security awareness training that covers essential university system and institution-specific security policies and security procedures. All training activities must be documented. At a minimum, the documentation must include the name of the community member, date of training, and information about the training material delivered.; Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:"
8,Does the risk governance program include the identification of the systems/products/services that support organizational priorities?,Yes,"Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
9,Does the organization's risk management program include processes that analyze risk at the enterprise level keeping stakeholders and senior management informed of risk management decisions?,Yes,"Heading: II. IT Security Program Standard, Content: Managing information security risk, like risk management in general, is not an exact science. It brings together the best collective judgment of individuals and groups within organizations responsible for strategic planning, oversight, management, and day-to-day operations. Institutions need to recognize that explicit, well-informed risk based decisions are necessary in order to balance the benefits gained from the operation and use of these information systems with the risk of the same systems being vehicles through which purposeful attacks, environmental disruptions, or human errors cause mission or business failure.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: of data that the institution does not consider to be a risk. This policy must specify the data that can only be accessed by university-managed devices.
2.7 Institutions must have documented systems (hardware, software, network, or a combination) development lifecycle (SDLC) plans, including the phases of initiation, acquisition/development, baseline configurations and inventories implementation, operations/maintenance, and sunset/disposal. Each phase of the SDLC plan must consider the risks posed by the data and operation of the system and include steps to address any risks in an appropriate manner. This standard applies to high-risk systems as defined by the institution."
