SIG Question,Response,Additional Information
Is there a formalized risk governance policy approved by management that defines the Enterprise Risk Management program requirements?,Yes,
"Does the risk governance program include risk management policies, procedures, and internal controls?",Yes,
"Does the risk governance program include range of assets to include: people, processes, data, and technology?",No,"Our risk governance program is comprehensive and covers all aspects of our business, including people, processes, data, and technology. We have dedicated teams to manage each of these areas, and we regularly review and update our risk management strategies to ensure they remain effective."
"Does the risk governance program include a range of internal and external threats: malicious, natural, accidental, cyber, business changes, or transaction volume?",Yes,
"Does the risk governance program include risk scenarios and intelligence guidelines that address threats, vulnerabilities, likelihoods, and impacts that could impact people, processes, technologies, and facilities?",Yes,
Does the governing body define the accountabilities of management and obligations of the Board of Directors for risk management?,Yes,
Is the risk governance program approved by senior management and/or board of directors?,Yes,
Is training provided to employees regarding risk expectations and their obligations?,Yes,
Does the risk governance program include the identification of the systems/products/services that support organizational priorities?,Yes,
Does the organization's risk management program include processes that analyze risk at the enterprise level keeping stakeholders and senior management informed of risk management decisions?,Yes,
Does the enterprise risk governance program include definitions of the roles and responsibilities for IT Governance?,Yes,
"Does the enterprise risk management program include strategic, operational, financial, compliance, privacy, IT, and security risk?",Yes,
Does the organization validate through audits or independent assessments the potential risks posed by Information Technology?,Yes,
Does the enterprise risk program include the establishment and communication of the priorities of activities?,Yes,
Does the enterprise risk program define and communicate the organization's risk appetite and approach to its employees?,Yes,
"Are there Subject Matter Experts (SMEs) and/or groups assigned to assess risk for distinct categories (e.g., operational, reputational, regulatory, technology, privacy, financial, etc.)?",Yes,
Do risk assessment personnel maintain relevant professional certifications?,Yes,
"Do risk assessment personnel participate in continuing education programs (e.g., online training, webinars, seminars, etc.)?",Yes,
Do all assessment groups utilize a consistent standardized framework for assessing risk?,Yes,
Are personnel tasked with scoping assessments trained in the organization's assessment scoping criteria?,Yes,
"Do risk assessment personnel maintain contacts with relevant professional special interest groups, specialist forums or professional associations?",Yes,
"Is there a formalized Risk Assessment process that identifies, quantifies, and prioritizes risks based on the risk acceptance levels relevant to the organization?",Yes,
Does the risk assessment process identify and monitor inherent and residual risk?,Yes,
Are risks to critical processes and entities reassessed annually?,Yes,
Does the organization have a process in place for documenting and approving the rationale and/or exclusion of specific controls in the risk management program?,Yes,
"Is there a formal process in the risk management program to identify, accept, prioritize, manage, and assign ownership with approved action plans for risk decisions?",Yes,
Does the risk management program include creation of internal controls if material risks are identified?,Yes,
Does the organization maintain an inventory of the applicable risks and controls included in the Enterprise Risk Management program?,Yes,
"Does the risk assessment process use defined methods to measure and evaluate risk (e.g., qualitative, quantitative, inherent, residual, etc.)?",Yes,
Does the risk assessment process identify and monitor quantitative risk?,Yes,
Are risk assessments scoped using a formal set of criteria that considers legal/regulatory compliance requirements?,Yes,
"Does the risk assessment process address confidentiality, integrity, and availability?",Yes,
Does the risk assessment process include the risks related to the processing of personal information and risk to the individual?,Yes,
Does the risk assessment process include documentation of the rationale for exclusion of specific controls based on the scoping performed?,Yes,
"Does the Enterprise Risk Management program include measures for defining, monitoring, and reporting risk metrics to the appropriate stakeholders (e.g., KRIs, KPIs, SLAs, performance benchmarks, maturity levels, etc.)?",Yes,
Do risk metrics include measurements against risk tolerance criteria set by the plan?,Yes,
Do the risk metrics include performance benchmarks?,No,
Do the risk metrics include Key Risk Indicators?,Yes,
Do the risk metrics include Service Level Agreement Compliance?,Yes,
Do the risk metrics include Policy Compliance?,Yes,
Do the risk metrics include Control Effectiveness?,Yes,
Do the risk metrics include IT Vulnerability Management compliance?,Yes,
Do the risk metrics include privacy and data protection compliance?,Yes,
Is there a third party risk management program that is reviewed and approved by management which includes 4th and Nth parties as part of the program?,Yes,
"Are there established third-party risk management standards or procedures for selecting, overseeing, and assessing fourth/nth parties within the scope of provided services?",Yes,
"During the risk assessment, does the organization consider implementing compensating controls to mitigate risk when information security requirements cannot be met by the third-party/supplier?",Yes,
"Have policies, standards, and procedures for implementing the third party risk management program been reviewed and approved by senior management?",Yes,
Is the third party risk management policy updated based on changes to the internal or external environment?,Yes,
"For all organizational entities (e.g., vendor's vendors, subcontractors, fourth parties, Nth parties) is there a contractual relationship that extends obligations to each entity?",Yes,
Does the third-party risk management program require Confidentiality and/or Non-Disclosure Agreements from all outsourced relationships(e.g. fourth/Nth party)?,Yes,
Do third-party contracts include all applicable privacy and security control requirements including those with fourth/Nth party?,Yes,
Do third-party party contracts include incident and data breach notifications including those with fourth/Nth party?,Yes,
"Do third-party contracts include provisions for access, audit, and information rights including those with fourth/Nth party?",Yes,
Do third party contracts include Service Level Agreements including those with fourth/Nth parties?,Yes,
Do third-party contracts include Indemnification/Liability including those with fourth/Nth party?,Yes,
Do third-party contracts include termination/exit clause procedures to ensure a secure termination of the third-party/supplier relationship including those with fourth/Nth party ?,Yes,
Do third-party contracts include breach of agreement terms including those with a fourth/Nth party?,Yes,
"Do Third-party contracts include ownership of information, trade secrets and intellectual property including those with fourth/Nth parties?",Yes,
Do fourth/Nth party contracts with third parties address end-of-life provisions for technology assets?,Yes,
Do fourth/Nth party contracts with third parties require negotiating the extension of contractual obligations to its third parties?,Yes,
"Do fourth/Nth party contracts include requirements for external audit reporting, problem reporting, and escalation procedures?",Yes,
Does the third party risk management program include creating and maintaining a third party inventory based on information and/or risk classification?,Yes,
"Does the third party risk management program have a governing body accountable for the selection, oversight and risk assessment of vendors or service providers?",Yes,
Are the activities of third party personnel monitored for potential security incidents?,Yes,
"Does the third party risk management program include definition of required contract development, adherence and management policies and processes?",Yes,
Does the third party risk management program include the definition of a third party risk assessment process?,Yes,
Does the third party risk management program include definition and a process for ongoing monitoring and review of third party risk?,Yes,
"Does the third-party risk management ongoing monitoring and review process observe performance changes to services and information security controls, new product or service developments, procedure or policy modifications, new technologies, etc.?",Yes,
"Are third-parties or service providers evaluated for reassessment when there are material changes to risk posture, service offerings or contracts?",No,
Does the third party risk management program include assessments performed on all potential entities before entering into contracts with them?,Yes,
Does the third party risk management program include requirements to review a vendor's third party risk program?,Yes,
Does the third party risk management program require notification for any new or changed outsourced contract relationships?,Yes,
Does the third party risk program require notification by each party of any changes affecting services rendered?,Yes,
Does the third party risk management program require background checks for service provider contractors and subcontractors?,Yes,
"Does the third party risk management program include an assigned individual or group responsible for capturing, maintaining, and tracking Information Security, Privacy, or other issues?",Yes,
"Does the third party risk management program include risk severity ratings criteria for issues (e.g., H/M/L, 1-5, etc.)?",Yes,
"Do the third party issue management procedures include requirements for corrective action and remediation plans, including escalation procedures if remediation requirements are not met?",Yes,
"Do the third party issue management procedures include identification of stakeholders, status reporting and frequency, and require sign-off when remediation is fully implemented?",No,
Does the third party risk management program include identification of the inherent risks of the service and determine the proper level of assessment needed prior to engaging with subcontractors?,Yes,
Does the third party risk management program include identification and documentation of the residual risks of the service and determine the proper level of assessment needed prior to outsourcing?,Yes,
Does the third-party risk management program include defined policies and procedures for management and approval of additional or downstream supply chain outsourcing?,Yes,
"Does the third-party risk management program require third-party access, audit, and information rights to downstream outsourced controls?",Yes,
"Does the third party risk management program require risk and security assessments of subcontractors prior to engaging other outsourced services e.g., logical, physical, other controls?",Yes,
Does the third party risk management program require risk and security assessments on critical outsourced functions at least annually?,Yes,
